Measure Names,Month of Date,REGION,Measure Values
Inspection,August 2025,AMD,"5,064"
Avg. Avg Insp TP,August 2025,AMD,"4,48,131.46307267"
workable leads,August 2025,AMD,"4,467"
Total_Listing,August 2025,AMD,555
Avg. Avg. Listing TP,August 2025,AMD,"4,87,306.295495495"
Listing went live,August 2025,AMD,545
Listing Conversion,August 2025,AMD,0.107622433
Avg. LP/TP,August 2025,AMD,1.055167603
Avg. FLP/TP (check from 8th Nov),August 2025,AMD,1.062343691
Avg. LP/CLP,August 2025,AMD,0.891539655
Delisted,August 2025,AMD,406
c2b bought,August 2025,AMD,90
Offer Initiated,August 2025,AMD,"8,254"
Unique Buyer,August 2025,AMD,"5,177"
Offer/Listings,August 2025,AMD,15.144954128
Counter,August 2025,AMD,10
Accepted,August 2025,AMD,"8,084"
% accepted/Offer,August 2025,AMD,0.979403925
Rejected,August 2025,AMD,7
Revision,August 2025,AMD,2
TD completed,August 2025,AMD,0
% TD/Accepted,August 2025,AMD,0
TD/Listing,August 2025,AMD,0
Sold,August 2025,AMD,6
Total Revenue,August 2025,AMD,"7,67,643"
Listing Revenue,August 2025,AMD,"6,30,533"
Vas revenue (chr+chat+spp+agreement),August 2025,AMD,"1,37,110"
Avg Lising fee,August 2025,AMD,"1,136.095495495"
Listing Revenue/day,August 2025,AMD,"20,339.774193548"
Inspection,September 2025,AMD,"5,549"
Avg. Avg Insp TP,September 2025,AMD,"4,51,706.39160209"
workable leads,September 2025,AMD,"4,942"
Total_Listing,September 2025,AMD,681
Avg. Avg. Listing TP,September 2025,AMD,"4,75,101.64359352"
Listing went live,September 2025,AMD,672
Listing Conversion,September 2025,AMD,0.121102901
Avg. LP/TP,September 2025,AMD,1.027889020
Avg. FLP/TP (check from 8th Nov),September 2025,AMD,1.038716173
Avg. LP/CLP,September 2025,AMD,0.876992943
Delisted,September 2025,AMD,272
c2b bought,September 2025,AMD,123
Offer Initiated,September 2025,AMD,"6,791"
Unique Buyer,September 2025,AMD,"4,418"
Offer/Listings,September 2025,AMD,10.105654762
Counter,September 2025,AMD,11
Accepted,September 2025,AMD,"6,676"
% accepted/Offer,September 2025,AMD,0.983065822
Rejected,September 2025,AMD,0
Revision,September 2025,AMD,0
TD completed,September 2025,AMD,4
% TD/Accepted,September 2025,AMD,0.000599161
TD/Listing,September 2025,AMD,0.005952381
Sold,September 2025,AMD,7
Total Revenue,September 2025,AMD,"10,31,144"
Listing Revenue,September 2025,AMD,"9,14,146"
Vas revenue (chr+chat+spp+agreement),September 2025,AMD,"1,16,998"
Avg Lising fee,September 2025,AMD,"1,342.358296623"
Listing Revenue/day,September 2025,AMD,"30,471.533333333"
Inspection,October 2025,AMD,"5,454"
Avg. Avg Insp TP,October 2025,AMD,"4,19,454.784195086"
workable leads,October 2025,AMD,"4,794"
Total_Listing,October 2025,AMD,622
Avg. Avg. Listing TP,October 2025,AMD,"4,07,623.676328502"
Listing went live,October 2025,AMD,612
Listing Conversion,October 2025,AMD,0.112211221
Avg. LP/TP,October 2025,AMD,1.026934757
Avg. FLP/TP (check from 8th Nov),October 2025,AMD,1.035694403
Avg. LP/CLP,October 2025,AMD,0.858704211
Delisted,October 2025,AMD,689
c2b bought,October 2025,AMD,85
Offer Initiated,October 2025,AMD,"7,804"
Unique Buyer,October 2025,AMD,"5,184"
Offer/Listings,October 2025,AMD,12.751633987
Counter,October 2025,AMD,5
Accepted,October 2025,AMD,"7,712"
% accepted/Offer,October 2025,AMD,0.988211174
Rejected,October 2025,AMD,6
Revision,October 2025,AMD,1
TD completed,October 2025,AMD,22
% TD/Accepted,October 2025,AMD,0.002852697
TD/Listing,October 2025,AMD,0.035947712
Sold,October 2025,AMD,12
Total Revenue,October 2025,AMD,"10,63,689"
Listing Revenue,October 2025,AMD,"8,67,418"
Vas revenue (chr+chat+spp+agreement),October 2025,AMD,"1,68,870"
Avg Lising fee,October 2025,AMD,"1,394.562700965"
Listing Revenue/day,October 2025,AMD,"27,981.225806452"
Inspection,November 2025,AMD,"5,842"
Avg. Avg Insp TP,November 2025,AMD,"4,47,235.021079692"
workable leads,November 2025,AMD,"5,177"
Total_Listing,November 2025,AMD,736
Avg. Avg. Listing TP,November 2025,AMD,"4,09,231.154891304"
Listing went live,November 2025,AMD,733
Listing Conversion,November 2025,AMD,0.125470729
Avg. LP/TP,November 2025,AMD,1.002623732
Avg. FLP/TP (check from 8th Nov),November 2025,AMD,1.021718010
Avg. LP/CLP,November 2025,AMD,0.840120105
Delisted,November 2025,AMD,"1,014"
c2b bought,November 2025,AMD,104
Offer Initiated,November 2025,AMD,"8,556"
Unique Buyer,November 2025,AMD,"5,208"
Offer/Listings,November 2025,AMD,11.672578445
Counter,November 2025,AMD,120
Accepted,November 2025,AMD,"7,348"
% accepted/Offer,November 2025,AMD,0.858812529
Rejected,November 2025,AMD,41
Revision,November 2025,AMD,6
TD completed,November 2025,AMD,31
% TD/Accepted,November 2025,AMD,0.004218835
TD/Listing,November 2025,AMD,0.042291951
Sold,November 2025,AMD,7
Total Revenue,November 2025,AMD,"11,80,512"
Listing Revenue,November 2025,AMD,"10,01,230"
Vas revenue (chr+chat+spp+agreement),November 2025,AMD,"1,53,818"
Avg Lising fee,November 2025,AMD,"1,360.366847826"
Listing Revenue/day,November 2025,AMD,"33,374.333333333"
Inspection,December 2025,AMD,"5,902"
Avg. Avg Insp TP,December 2025,AMD,"4,51,058.866779661"
workable leads,December 2025,AMD,"5,158"
Total_Listing,December 2025,AMD,694
Avg. Avg. Listing TP,December 2025,AMD,"3,91,805.050432277"
Listing went live,December 2025,AMD,694
Listing Conversion,December 2025,AMD,0.117587259
Avg. LP/TP,December 2025,AMD,0.993868718
Avg. FLP/TP (check from 8th Nov),December 2025,AMD,1.011747675
Avg. LP/CLP,December 2025,AMD,0.828947827
Delisted,December 2025,AMD,703
c2b bought,December 2025,AMD,120
Offer Initiated,December 2025,AMD,"12,006"
Unique Buyer,December 2025,AMD,"5,441"
Offer/Listings,December 2025,AMD,17.299711816
Counter,December 2025,AMD,758
Accepted,December 2025,AMD,"5,068"
% accepted/Offer,December 2025,AMD,0.422122272
Rejected,December 2025,AMD,328
Revision,December 2025,AMD,54
TD completed,December 2025,AMD,25
% TD/Accepted,December 2025,AMD,0.004932912
TD/Listing,December 2025,AMD,0.036023055
Sold,December 2025,AMD,4
Total Revenue,December 2025,AMD,"10,25,532"
Listing Revenue,December 2025,AMD,"8,74,380"
Vas revenue (chr+chat+spp+agreement),December 2025,AMD,"97,710"
